longitude,latitude,Location Name,Address
-86.203102,34.277329,"Waffle House-Albertville,AL","80 Alabama Hwy 75 N, Albertville,AL 35951, (256) 891-7822 [WH  #1179]"
-85.897571,33.781237,"Waffle House-Alexandria,AL","119 Big Valley Dr, Alexandria,AL 36250, (256) 847-0693 [WH  #1744]"
-85.82691,33.664183,"Waffle House-Anniston,AL","1530 Quintard Ave, Anniston,AL 36201, (256) 237-8961 [WH  #1546]"
-86.5039905,34.3441996,"Waffle House-Arab,AL","1515 N Brindlee Mountain Pkwy, Arab,AL 35016, (256) 550-0619 [WH  #2239]"
-86.938264,34.782688,"Waffle House-Athens,AL","1507 Hwy 72 E [I-85 Exit 351], Athens,AL 35611-4409, (256) 232-3068 [WH  #740]"
-87.486071,31.072156,"Waffle House-Atmore,AL","78 Wind River Rd, Atmore,AL 36502, (251) 368-9777 [WH  #1969]"
-86.073975,34.018108,"Waffle House-Attalla,AL","802 Cleveland Ave [I-59 Exit 183], Attalla,AL 35954-2909, (256) 538-3278 [WH  #86]"
-86.094351,33.997137,"Waffle House-Attalla,AL","961 Gilberto Ferry Rd, Attalla,AL 35954, (256) 538-8966 [WH  #1475]"
-85.481977,32.609088,"Waffle House-Auburn,AL","110 West Glenn Ave, Auburn,AL 36830-4710, (334) 826-0987 [WH  #1882]"
-85.444521,32.625655,"Waffle House-Auburn,AL","1738 Opelika Rd, Auburn,AL 36831, (334) 821-2400 [WH  #1166]"
-85.503345,32.563899,"Waffle House-Auburn,AL","2167 S College St I-85 Exit 51], Auburn,AL 36830, (334) 826-0810 [WH  #1035]"
-85.43032,32.60794,"Waffle House-Auburn,AL","2346 Bent Creek Rd, Auburn,AL 36830, (334) 887-2087 [WH  #1646]"
-87.783863,30.878354,"Waffle House-Bay Minette,AL","105 Mcmeans Ave, Bay Minette,AL 36507, (251) 937-3355 [WH  #957]"
-88.244206,30.419271,"Waffle House-Bayou La Batre,AL","13035 N Wintzell Ave, Bayou La Batre,AL 36509, (251) 824-1747 [WH  #1869]"
-86.917275,33.33704,"Waffle House-Bessemer,AL","3998 Methodist Cir [I-459 Exit 6], Bessemer,AL 35022-5606, (205) 428-1900 [WH  #882]"
-87.004126,33.366189,"Waffle House-Bessemer,AL","5010 Academy Ln [I-20 Exit 108], Bessemer,AL 35022-5249, (205) 425-2734 [WH  #1340]"
-86.9686584,33.3964157,"Waffle House-Bessemer,AL","931 9th Ave North, Bessemer,AL 35020, (none listed) [WH  #1970]"
-86.796907,33.501524,"Waffle House-Birmingham,AL","1034 20Th Street South, Birmingham,AL 35205, (205) 583-4615 [WH  #1985]"
-86.644819,33.597146,"Waffle House-Birmingham,AL","1440 Gadsden Hwy 459 & Hwy 11, Birmingham,AL 35235-3126, (205) 655-8109 [WH  #1033]"
-86.80472,33.507804,"Waffle House-Birmingham,AL","1801 4Th Avenue, Birmingham,AL 35233, (205) 244-1956 [WH  #1939]"
-86.800159,33.371325,"Waffle House-Birmingham,AL","1985 Hwy 31 S, Birmingham,AL 35244-1117, (205) 987-8085 [WH  #1295]"
-86.823577,33.471786,"Waffle House-Birmingham,AL","316 Valley Ave, Birmingham,AL 35209, (205) 942-6582 [WH  #2181]"
-86.665702,33.414835,"Waffle House-Birmingham,AL","5419 Hwy 280 South, Birmingham,AL 35244-6510, (205) 995-1370 [WH  #1151]"
-86.698895,33.588361,"Waffle House-Birmingham,AL","9227 Parkway East [I-59 Exit 134], Birmingham,AL 35206-1510, (205) 836-3159 [WH  #724]"
-86.151871,34.198751,"Waffle House-Boaz,AL","10931 Alabama Hy 168, Boaz,AL 35957, (256) 593-7991 [WH  #850]"
-86.749224,33.147916,"Waffle House-Calera,AL","5087 Highway 31, Calera,AL 35040, (205) 668-6825 [WH  #1825]"
-86.683779,33.6427,"Waffle House-Center Point,AL","2208 Center Point Pkwy, Center Point,AL 35215, (205) 854-2248 [WH  #1961]"
-85.715896,34.161749,"Waffle House-Centre,AL","2070 West Main St, Centre,AL 35960, (256) 927-6167 [WH  #1790]"
-86.351762,33.266142,"Waffle House-Childersburg,AL","33681 Us Hwy 280, Childersburg,AL 35044, (256) 378-6236 [WH  #1831]"
-86.577506,32.801415,"Waffle House-Clanton,AL","2230 7Th Street S, Clanton,AL 35046-6300, (205) 755-8429 [WH  #741]"
-86.864278,34.115092,"Waffle House-Cullman,AL","1707 County Rd 437 [I-65 Exit 304], Cullman,AL 35055-0207, (256) 734-2360 [WH  #456]"
-86.875834,34.203755,"Waffle House-Cullman,AL","1900 Commerce St [I-65 Exit 310], Cullman,AL 35055-6150, (256) 737-6019 [WH  #1004]"
-85.725882,31.299883,"Waffle House-Daleville,AL","394 Virginia Ave, Daleville,AL 36322, (334) 503-1693 [WH  #1693]"
-87.898489,30.598629,"Waffle House-Daphne,AL","1427 Us Highway 98, Daphne,AL 36526, (251) 509-4181 [WH #2290]"
-87.912175,30.64906,"Waffle House-Daphne,AL","29100 Us Hwy 98, Daphne,AL 36526-9106, (251) 626-1185 [WH  #365]"
-87.852576,30.675028,"Waffle House-Daphne,AL","30935 Mill Lane, Daphne,AL 36526, (251) 626-1207 [WH  #1981]"
-87.906004,30.655357,"Waffle House-Daphne,AL","6781 Us Hwy 90, Daphne,AL 36526, (251) 626-0431 [WH  #1301]"
-87.014803,34.571935,"Waffle House-Decatur,AL","2015 Beltline Rd SW, Decatur,AL 35601, (256) 432-2678 [WH  #2102]"
-86.973265,34.56879,"Waffle House-Decatur,AL","2202 6Th Ave Se, Decatur,AL 35601-6512, (256) 355-3404 [WH  #270]"
-86.909698,34.536329,"Waffle House-Decatur,AL","3305 Point Mallard [I-65 Exit 334], Decatur,AL 35603-5709, (256) 350-0042 [WH  #908]"
-86.979408,34.607834,"Waffle House-Decatur,AL","710 Sixth Avenue Ne, Decatur,AL 35601-2410, (256) 355-2871 [WH  #338]"
-85.362736,31.217406,"Waffle House-Dothan,AL","1925 E Main Street, Dothan,AL 36301, (334) 794-6406 [WH  #335]"
-85.38805,31.25606,"Waffle House-Dothan,AL","2325 Reeves St, Dothan,AL 36303, (334) 673-1997 [WH  #1317]"
-85.397366,31.18596,"Waffle House-Dothan,AL","2442 South Oakes St, Dothan,AL 36301, (334) 794-8640 [WH  #1043]"
-85.430612,31.215517,"Waffle House-Dothan,AL","2849 Ross Clark Cir, Dothan,AL 36302, (334) 793-0028 [WH  #1535]"
-85.425592,31.248443,"Waffle House-Dothan,AL","3591 Ross Clark Cir, Dothan,AL 36303-5919, (334) 793-7739 [WH  #407]"
-85.453399,31.234204,"Waffle House-Dothan,AL","4091 West Main St, Dothan,AL 36305, (334) 793-1123 [WH  #1613]"
-85.831036,31.321492,"Waffle House-Enterprise,AL","637 Boll Weevil Cir, Enterprise,AL 36330, (334) 308-1550 [WH  #1564]"
-85.154813,31.8724,"Waffle House-Eufaula,AL","1551 S Eufala Ave, Eufaula,AL 36027, (334) 687-0463 [WH  #808]"
-86.969119,31.455469,"Waffle House-Evergreen,AL","1635 Ted Bates Rd, Evergreen,AL 36401-9700, (251) 578-3577 [WH  #428]"
-86.963444,31.455948,"Waffle House-Evergreen,AL","832 Liberty Hill Dr, Evergreen,AL 36401, (251) 578-3577 [WH  #2278]"
-86.91063,33.464398,"Waffle House-Fairfield,AL","636 Bessemer Super Hwy, Fairfield,AL 35064, (205) 923-1983 [WH  #1908]"
-87.886156,30.515073,"Waffle House-Fairhope,AL","373 South Greeno Rd, Fairhope,AL 36532-1904, (251) 990-2996 [WH  #1462]"
-87.63627,34.828431,"Waffle House-Florence,AL","2501 Florence Blvd, Florence,AL 35630-2867, (256) 718-6879 [WH  #1283]"
-87.647599,30.40751,"Waffle House-Foley,AL","12615 Foley Beach, Foley,AL 36535, (251) 943-5411 [WH  #1851]"
-87.683327,30.376672,"Waffle House-Foley,AL","2660 S. Mckenzie St, Foley,AL 36535, (251) 943-3813 [WH  #884]"
-85.750705,34.4374,"Waffle House-Ft Payne,AL","1410 Glenn Blvd [I-59 Exit 218], Ft Payne,AL 35967, (256) 845-7404 [WH  #998]"
-86.802377,33.607896,"Waffle House-Fultondale,AL","1334 Walker Chapel, Fultondale,AL 35068-1658, (205) 849-8159 [WH  #1443]"
-86.004372,33.997586,"Waffle House-Gadsden,AL","1000 Rainbow Dr, Gadsden,AL 35901, (256) 547-6842 [WH  #1265]"
-85.992305,34.011355,"Waffle House-Gadsden,AL","75 Meighan Blvd, Gadsden,AL 35903, (256) 547-8736 [WH  #1703]"
-86.818922,33.652029,"Waffle House-Gardendale,AL","500 Fieldstown Road, Gardendale,AL 35071-2486, (205) 631-5935 [WH  #867]"
-88.349099,30.47255,"Waffle House-Grand Bay,AL","9190 Grand Bay, Grand Bay,AL 36541, (251) 865-9286 [WH  #1221]"
-86.640272,31.848637,"Waffle House-Greenville,AL","948 Fort Dale Rd, Greenville,AL 36037-3637, (334) 382-5121 [WH  #159]"
-87.682336,30.249287,"Waffle House-Gulfshores,AL","382 E Beach Blvd, Gulfshores,AL 36542, (251) 948-5901 [WH  #849]"
-86.313788,34.336979,"Waffle House-Guntersville,AL","2053 Gunter Ave, Guntersville,AL 35976, (256) 582-0730 [WH  #1372]"
-86.851802,33.282617,"Waffle House-Helena,AL","2401 Helena Rd, Helena,AL 35080, (205) 565-1284 [WH  #2266]"
-86.806565,33.410959,"Waffle House-Hoover,AL","1535 Montgomery Hwy [I-65 S Exit 252], Hoover,AL 35216-4501, (205) 823-1174 [WH  #406]"
-86.843577,33.354548,"Waffle House-Hoover,AL","2535 John Hawkins, Hoover,AL 35244, (205) 902-3210 [WH  #2279]"
-86.7392921,33.3864822,"Waffle House-Hoover,AL","5176 Caldwell Mill Rd, Hoover,AL 35244, (205) 437-8220 [WH  #2087]"
-86.9656982,33.4570084,"Waffle House-Hueytown,AL","938 Allison Bonnett Memorial Dr, Hueytown,AL 35023, (205) 744-8588 [WH  #2131]"
-86.5671741,34.6279474,"Waffle House-Huntsville,AL","11500 Memorial Pkwy, Huntsville,AL 35803, (256) 650-1208 [WH  #2062]"
-86.526646,34.774994,"Waffle House-Huntsville,AL","36 Shields Rd, Huntsville,AL 35811-7800, (256) 852-1003 [WH  #1384]"
-86.6681137,34.7921053,"Waffle House-Huntsville,AL","3745 Hwy 53, Huntsville,AL 35806, (256) 851-8184 [WH  #2029]"
-86.626966,34.735033,"Waffle House-Huntsville,AL","3995 University Dr, Huntsville,AL 35805-3172, (256) 837-9781 [WH  #287]"
-86.589588,34.7393811,"Waffle House-Huntsville,AL","408 Pratt Avenue, Huntsville,AL 35801, (256) 534-5977 [WH  #2116]"
-86.656658,34.738196,"Waffle House-Huntsville,AL","4896 University Dr, Huntsville,AL 35816-1848, (256) 837-7411 [WH  #775]"
-86.538197,34.672994,"Waffle House-Huntsville,AL","7106 Bailey Creek, Huntsville,AL 35802-2796, (256) 883-7366 [WH  #1405]"
-86.702938,33.533299,"Waffle House-Irondale,AL","1833 Crestwood Blvd [I-20 Exit 133], Irondale,AL 35210-2049, (205) 956-4121 [WH  #208]"
-88.242229,30.539614,"Waffle House-Irvington,AL","8354 I-10 Service Rd, Irvington,AL 36544, (251) 653-1834 [WH  #1834]"
-85.761357,33.818858,"Waffle House-Jacksonville,AL","500 Pelham Rd North, Jacksonville,AL 36265, (256) 782-1453 [WH  #1606]"
-87.2435523,33.7934126,"Waffle House-Jasper,AL","203 Carl Cannon Blvd, Jasper,AL 33501, (205) 522-5487 [WH  #2245]"
-87.266009,33.847595,"Waffle House-Jasper,AL","801 Hwy 78 East, Jasper,AL 35501-3954, (205) 221-6085 [WH  #312]"
-86.52227,33.563658,"Waffle House-Leeds,AL","1850 Ashville Rd [I-20 Exit 144 B], Leeds,AL 35094, (205) 699-5300 [WH  #1093]"
-86.119069,33.613461,"Waffle House-Lincoln,AL","670 Magnolia Street, Lincoln,AL 35096, (205) 763-1561 [WH  #1560]"
-87.767358,30.650679,"Waffle House-Loxley,AL","13101 E Flowerwood, Loxley,AL 36551, (251) 964-6922 [WH  #869]"
-86.740991,34.751579,"Waffle House-Madison,AL","1635 Hughes Rd, Madison,AL 35758, (256) 890-1276 [WH  #1956]"
-86.753448,34.676612,"Waffle House-Madison,AL","8950 Madison Blvd, Madison,AL 35758, (706) 416-9893 [WH  #2227]"
-86.571893,34.857951,"Waffle House-Meridianville,AL","11879 Highway 231, Meridianville,AL 35759, (256) 804-8668 [WH #2295]"
-88.190527,30.662638,"Waffle House-Mobile,AL","1269 Hillcrest Rd, Mobile,AL 36695, (251) 635-0930 [WH  #1778]"
-88.089036,30.634951,"Waffle House-Mobile,AL","1754 Dauphin Isl Pky, Mobile,AL 36605-3067, (251) 476-5349 [WH  #241]"
-88.082795,30.67727,"Waffle House-Mobile,AL","1851 Government St, Mobile,AL 36606, (251) 479-0079 [WH  #1912]"
-88.224651,30.641459,"Waffle House-Mobile,AL","2423 Schillinger Rd, Mobile,AL 36695-4180, (251) 634-4943 [WH  #1480]"
-88.115702,30.676405,"Waffle House-Mobile,AL","3030 Airport Blvd, Mobile,AL 36606, (251) 476-6019 [WH  #1948]"
-88.122467,30.689086,"Waffle House-Mobile,AL","3262-B Dauphin St, Mobile,AL 36606, (251) 473-8427 [WH  #1593]"
-88.125406,30.703828,"Waffle House-Mobile,AL","3428 Springhill Ave, Mobile,AL 36608-1523, (251) 342-3856 [WH  #285]"
-88.131841,30.675932,"Waffle House-Mobile,AL","3651 Airport Blvd, Mobile,AL 36608-1615, (251) 342-8701 [WH  #178]"
-88.126765,30.649406,"Waffle House-Mobile,AL","3671 Government Blvd, Mobile,AL 36609-1158, (251) 666-6056 [WH  #289]"
-88.1566984,30.7201732,"Waffle House-Mobile,AL","4959 Moffett Rd, Mobile,AL 36618, (251) 217-4244 [WH  #2211]"
-88.158874,30.649095,"Waffle House-Mobile,AL","5011 Cottage Hill Rd, Mobile,AL 36609, (251) 661-3547 [WH  #1782]"
-88.169907,30.586755,"Waffle House-Mobile,AL","5448 Us Hwy 90 W, Mobile,AL 36619, (251) 660-1167 [WH  #1165]"
-88.225481,30.678676,"Waffle House-Mobile,AL","560 Schillinger Rd, Mobile,AL 36695, (251) 607-9823 [WH  #1303]"
-88.17148,30.689547,"Waffle House-Mobile,AL","5610 Old Shell Rd, Mobile,AL 36608, (251) 344-9495 [WH  #1714]"
-86.270629,32.364059,"Waffle House-Montgomery,AL","2615 Zelda Rd, Montgomery,AL 36107-3143, (334) 265-6138 [WH  #563]"
-86.230605,32.42003,"Waffle House-Montgomery,AL","2635 Cong W L, Montgomery,AL 36109-1105, (334) 260-2948 [WH  #1197]"
-86.3048706,32.3802757,"Waffle House-Montgomery,AL","301 Madison Ave, Montgomery,AL 36104, (334) 293-9939 [WH  #2007]"
-86.217286,32.359824,"Waffle House-Montgomery,AL","5180 Carmichael Rd, Montgomery,AL 36106-2903, (334) 277-3952 [WH  #576]"
-86.206953,32.381869,"Waffle House-Montgomery,AL","5532 Atlanta Hwy, Montgomery,AL 36117, (334) 244-1621 [WH  #1903]"
-86.174423,32.338738,"Waffle House-Montgomery,AL","8075 Vaughn Rd, Montgomery,AL 36116, (334) 215-6854 [WH  #1923]"
-86.357062,32.268639,"Waffle House-Montgomery,AL","90 Folmar Pkwy, Montgomery,AL 36105-5501, (334) 281-1677 [WH  #1430]"
-86.139617,32.36612,"Waffle House-Montgomery,AL","9225 Boyd Cooper, Montgomery,AL 36117-7564, (334) 271-6779 [WH  #1582]"
-86.33251,32.326889,"Waffle House-Montgomery,AL","985 W South Blvd, Montgomery,AL 36105-3038, (334) 288-2699 [WH  #835]"
-86.519783,33.570829,"Waffle House-Moody,AL","2140 Moody Pkwy I-20 Exit 144], Moody,AL 35004, (205) 640-4579 [WH  #825]"
-87.577886,33.239309,"Waffle House-Northport,AL","1925 Mcfarland Blvd, Northport,AL 35476-2923, (205) 339-5880 [WH  #150]"
-87.612583,33.234629,"Waffle House-Northport,AL","5681 Mcfarland Blvd, Northport,AL 35476, (205) 330-0992 [WH  #2125]"
-85.405733,32.616585,"Waffle House-Opelika,AL","2064 Interstate Dr, Opelika,AL 36801, (334) 749-6303 [WH  #1866]"
-85.354952,32.644696,"Waffle House-Opelika,AL","907 Fox Run Pkwy [I-85 Exit 62], Opelika,AL 36801, (334) 705-0304 [WH  #805]"
-87.596392,30.267355,"Waffle House-Orange Beach,AL","25101 Perdido Beach, Orange Beach,AL 36561, (251) 981-2085 [WH  #925]"
-85.8322609,33.6033127,"Waffle House-Oxford,AL","1201 AL Hwy 21 South, Oxford,AL 36203, (256) 835-1698 [WH  #461]"
-85.827743,33.615737,"Waffle House-Oxford,AL","545 Quintard Drive [I-20 Exit 189], Oxford,AL 36203, (256) 831-1088 [WH  #864]"
-85.78787,33.613527,"Waffle House-Oxford,AL","65 Jimmy Hinton Dr [I-20 Exit 188], Oxford,AL 36203, (256) 832-0407 [WH  #1284]"
-85.659188,31.449023,"Waffle House-Ozark,AL","970 Hwy 231 South, Ozark,AL 36360, (334) 445-4390 [WH  #1468]"
